CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);46031;02/04/2017;R$ 42,17;R$ 0,62;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45934;02/04/2017;R$ 37,04;R$ 0,54;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44599;02/04/2017;R$ 21,04;R$ 0,31;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37170;02/04/2017;R$ 43,18;R$ 0,63;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);58090;02/04/2017;R$ 32,55;R$ 0,50;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);48207;02/04/2017;R$ 32,89;R$ 0,50;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40531;02/04/2017;R$ 474,16;R$ 7,29;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44850;02/04/2017;R$ 74,38;R$ 1,09;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37144;02/04/2017;R$ 11,85;R$ 0,17;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37168;02/04/2017;R$ 38,21;R$ 0,56;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37136;02/04/2017;R$ 107,63;R$ 1,58;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);15097;02/04/2017;R$ 20,38;R$ 0,30;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44815;02/04/2017;R$ 24,90;R$ 0,36;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);40907;02/04/2017;R$ 32,84;R$ 0,48;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);40326;02/04/2017;R$ 451,96;R$ 6,67;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);36795;02/04/2017;R$ 507,49;R$ 7,81;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44807;02/04/2017;R$ 55,96;R$ 0,82;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45850;02/04/2017;R$ 8,85;R$ 0,13;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45861;02/04/2017;R$ 32,19;R$ 0,47;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45763;02/04/2017;R$ 10,97;R$ 0,16;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45883;02/04/2017;R$ 58,43;R$ 0,86;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);30830;02/04/2017;R$ 32,56;R$ 0,22;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);25994;02/04/2017;R$ 813,29;R$ 11,50;CALCULADO
